Emotion,Sentence,Sentence_cleaned
Disgust,"đó là do bạn ngu , đéo biết chọn chỗ viết",đó là do bạn ngu đéo bt chọn chỗ viết
Sadness,"giờ đây chúng ta , những con người của ngày ấy giờ không còn nữa ... những lời nói về mai sau nhưng ta đâu ngờ sau này chúng ta càng trở lên xa lạ",giờ đây chúng ta những con người của ngày ấy giờ không còn nữa những lời nói về mai sau nhưng ta đâu ngờ sau này chúng ta càng trở lên xa lạ
Other,ngại gì thế vừa nhanh vừa tiện,ngại gì thế vừa nhanh vừa tiện
Disgust,nhà anh có cơ to nhưng óc anh bằng quả nho !!,nhà anh có cơ to nhưng óc anh bằng quả nho
Other,bếp dầu vặn tim rồi chăm lửa nó mới cháy nha chỉ cho mấy đứa không bit sài,bếp dầu vặn tim rồi chăm lửa nó mới cháy nha chỉ cho mấy đứa không bit sài
Sadness,không biết thật mà hix .,không bt thật mà hix
Disgust,về nhà thể hiển nhé chú em,về nhà thể hiển nhé chú em
Enjoyment,"per anh nào nhắn vậy là tao yêuc luôn đéo suy nghĩ , ngọt vãi",per anh nào nhắn vậy là tao yêuc luôn đéo suy nghĩ ngọt vãi
Disgust,lỗi là do phụ huynh . nên đừng gây áp lực cho mấy em trẻ,lỗi là do phụ huynh nên đừng gây áp lực cho mấy em trẻ
Disgust,"sai rõ rồi , bếp công cộng nào cũng phải có lưu mẫu chứ . nếu không lưu thì lại vi phạm thì xử cái đó",sai rõ rồi bếp công cộng nào cũng phải có lưu mẫu chứ nếu không lưu thì lại vi phạm thì xử cái đó
Other,"đang lười quá nè , làm sao để bớt lười",đang lười quá nè làm sao để bớt lười
Surprise,đẹp quá 😆 vi diệu,đẹp quá 😆 vi diệu
Sadness,"đến lúc yêu nhạt cực :) tao thề ! kiểu chán chán , muốn quay về đơn phương hơn",đến lúc yêu nhạt cực tao thề kiểu chán chán muốn quay về đơn phương hơn
Disgust,ngiu tao cắt tóc xong nhìn như cặc . phải để tầm nữa tháng sau nhìn mới nung trở lại,ngiu tao cắt tóc xong nhìn như cặc phải để tầm nữa tháng sau nhìn mới nung trở lại
Disgust,có lẽ chỉ là con tốt thí thân cho cả bầy bụng phệ phía sau,có lẽ chỉ là con tốt thí thân cho cả bầy bụng phệ phía sau
Disgust,nghèo mà đi tập huấn sang chảnh ??,nghèo mà đi tập huấn sang chảnh
Sadness,tao toàn bạn gái mà sao vẫn tưng tửng nhể ???,tao toàn bạn gái mà sao vẫn tưng tửng nhể
Anger,vậy cứ mở mồm chó ra đổ thừa trung quốc . toàn mình giết mình,vậy cứ mở mồm chó ra đổ thừa trung quốc toàn mình giết mình
Disgust,"cấm đỗ thì gọi phường hay thanh tra giao thông xuống cẩu đi , chứ đường nhà chủ thớt bỏ tiền mua chắc ??????",cấm đỗ thì gọi phường hay thanh tra giao thông xuống cẩu đi chứ đường nhà chủ thớt bỏ tiền mua chắc
Disgust,"cái dòng ế mà dễ dãi , hứ tao khinh",cái dòng ế mà dễ dãi hứ tao khinh
Enjoyment,xem lâu rồi giờ xem lại vẫn buồn cười,xem lâu rồi giờ xem lại vẫn buồn cười
Enjoyment,"còn giữ 2 cái đĩa cổ này luôn á , ghê hông",còn giữ 2 cái đĩa cổ này luôn á ghê không
Sadness,quen với quên rồi thì hết đau thôi mà,quen với quên rồi thì hết đau thôi mà
Enjoyment,anh này còn phim pk nữa rất hay và ý nghĩa,anh này còn phim pk nữa rất hay và ý nghĩa
Enjoyment,"cả phim trừ anh dv chính ra thì thấy anh này là đáng yêu nhất , dù nhìn hơi hâm hâm tý",cả phim trừ anh dv chính ra thì thấy anh này là đáng yêu nhất dù nhìn hơi hâm hâm tý
Disgust,mua mà không được phát tán virut bán ra chợ đen thì mua để mà tế ah .,mua mà không được phát tán virut bán ra chợ đen thì mua để mà tế ah
Other,cẩn thận quá cô ơi,cẩn thận quá cô ơi
Enjoyment,muốn nhanh thì phải từ từ =))))),muốn nhanh thì phải từ từ
Other,nhìn phiêu thật chắc nhẹ mất mấy cân một bên tai 😂😂😂,nhìn phiêu thật chắc nhẹ mất mấy cân một bên tai 😂
Other,đang có phong trào tế trượt chân bể bình hả,đang có phong trào tế trượt chân bể bình hả
Other,có khi nào là chủ tịch giả vờ không ?,có khi nào là chủ tịch giả vờ không
Enjoyment,một giây rung động con tim :))))),một giây rung động con tim
Other,này làm mình liên tưởng tới hoá,này làm mình liên tưởng tới hoá
Enjoyment,"thích hôn , thèm hôn ư ư ...",thích hôn thèm hôn ư ư
Disgust,"nhớ lúc nhỏ tao và nó mỗi đứa 1 đường đi không ai đá động gì đến nó mà dume tao đang đi nó chạy sang đá cho tao mấy phát , dume đúng là đồ hoạ mi điên ... 🌚🌚 thứ độg vật không thể nào yêu thương nổi ...",nhớ lúc nhỏ tao và nó mỗi đứa 1 đường đi không ai đá động gì đến nó mà dume tao đang đi nó chạy sang đá cho tao mấy phát dume đúng là đồ hoạ mi điên 🌚🌚 thứ độg vật không thể nào yêu thương nổi
Anger,"nhìn mặt đã thấy tởm , lũ thầy cô trong trường biết còn trêu chọc các em . rặt một lũ cặn bã , súc sinh .",nhìn mặt đã thấy tởm lũ thầy cô trong trường bt còn trêu chọc các em rặt một lũ cặn bã súc sinh
Anger,"tự nhiên chơi với con trai cái bị kêu không đàng quàng , con gái gì kỳ vậy , lại còn nhiều bồ , đi với ai cũng nghĩ là bồ . mệt thiệt chứ",tự nhiên chơi với con trai cái bị kêu không đàng quàng con gái gì kỳ vậy lại còn nhiều bồ đi với ai cũng nghĩ là bồ mệt thiệt chứ
Sadness,tao ho rụng hết tóc rồi 😭,tao ho rụng hết tóc rồi 😭
Disgust,tưởng đàng hoàng cho chơi chung ai dè bạn xấu,tưởng đàng hoàng cho chơi chung ai dè bạn xấu
Enjoyment,per bit cái nay không . hihi,per bit cái nay không hihi
Enjoyment,vừa lên dốc thấy crush cười =)),vừa lên dốc thấy người mình thích cười
Sadness,kiếp trước sống lỗi quá nên kiếp này nghiệp quật :((,kiếp trước sống lỗi quá nên kiếp này nghiệp quật
Enjoyment,kkk tao chọn anh đầu tiên,không tao chọn anh đầu tiên
Disgust,lol :) dume nhảm nhí,lol dume nhảm nhí
Sadness,thằng hack game nó gặp trùm cuối rồi 😭😭 truyện đến đây là kết thúc sao 😭,thằng hack game nó gặp trùm cuối rồi 😭😭 truyện đến đây là kết thúc sao 😭
Other,lúc đầu tao còn tưởng thật ấy chứ,lúc đầu tao còn tưởng thật ấy chứ
Other,rất chi là chờ đợi 🙄,rất chi là chờ đợi 🙄
Enjoyment,chị em mình giờ nói ít thôi haha,chị em mình giờ nói ít thôi haha
Sadness,per rồi sẽ có 1 ngày vừa cười tao vừa kể chuyện khiến tao rơi nước mắt,per rồi sẽ có 1 ngày vừa cười tao vừa kể chuyện khiến tao rơi nước mắt
Fear,ăn vào lại thức dậy ở một nơi xa thì bỏ mẹ :)),ăn vào lại thức dậy ở một nơi xa thì bỏ mẹ
Other,em ấy đang ở đâu ạ,em ấy đang ở đâu ạ
Anger,gọi gọi người ra cái lờ ! gặp bố đập mày lun cho rảnh lol nhá,gọi gọi người ra cái lờ gặp bố đập mày lun cho rảnh lol nhá
Enjoyment,"giả bộ vô tình gặp nhìn lén rồi đi , lại còn tìm hiểu cả gia phả người ta nữa chứ ... một thời ngu ngốc đáng yêu .",giả bộ vô tình gặp nhìn lén rồi đi lại còn tìm hiểu cả gia phả người ta nữa chứ một thời ngu ngốc đáng yêu
Disgust,nghe lần 3 đéo thấy hay,nghe lần 3 đéo thấy hay
Surprise,ủa sao biết ??,ủa sao bt
Anger,dume cà rốt bố đéo thèm nhé !,dume cà rốt bố đéo thèm nhé
Disgust,nhạt hơn tao,nhạt hơn tao
Other,tao hiểu cảm giác đó,tao hiểu cảm giác đó
Surprise,anh thật máu lửa 🤣🤣🤣,anh thật máu lửa 🤣
Enjoyment,"per vì ss thích coi nặn mụn , c cũng ráng coi hết và cái kết có hậu 😂😂",per vì ss thích coi nặn mụn c cũng ráng coi hết và cái kết có hậu 😂😂
Disgust,bọn fa sẽ nói tao lấy ảnh mạng cho mà xem,bọn độc thân sẽ nói tao lấy ảnh mạng cho mà xem
Enjoyment,bắt võng nằm cho sướng,bắt võng nằm cho sướng
Enjoyment,đúng là khổ trước sướng sau thế mới giàu =))),đúng là khổ trước sướng sau thế mới giàu
Disgust,nói thiệt là 10 người thanh hoá hết 9 người chả ra gì ...,nói thiệt là 10 người thanh hoá hết 9 người chả ra gì
Enjoyment,đó là tìm đúng người còn sai người thì auto mối quan hệ kết thúc :)),đó là tìm đúng người còn sai người thì auto mối quan hệ kết thúc
Anger,bọn công ty nào vậy mọi người cùng nhau lên xiên cho bọn nó mỗi đứa vài phát,bọn công ty nào vậy mọi người cùng nhau lên xiên cho bọn nó mỗi đứa vài phát
Other,"có thể là ngày mai , tháng sau , cuối năm , sang năm hoặc 30 tuổi :))) khi nào có tình yêu .",có thể là ngày mai tháng sau cuối năm sang năm hoặc 30 tuổi khi nào có tình yêu
Anger,dume mấy con nhãi danh . 😒,dume mấy con nhãi danh 😒
Sadness,mình còn chưa được nắm tay,mình còn chưa được nắm tay
Enjoyment,boss dễ thương vãi lúa,boss dễ thương vãi lúa
Other,"nhà nuôi 1 cặp ngỗng kêu thì ôi thôi điếc tai luôn . chạy xe thì cứ canh ngay đầu xe mà nhào ra mổ , dí hơn cả chó nữa",nhà nuôi 1 cặp ngỗng kêu thì ôi thôi điếc tai luôn chạy xe thì cứ canh ngay đầu xe mà nhào ra mổ dí hơn cả chó nữa
Disgust,mặt thằng mèo khó ở vãi,mặt thằng mèo khó ở vãi
Disgust,hỏng xe và phải đền tầu hỏa . có thể phải đi tù nếu gây hậu quả nghiêm trọng . đầu đất là có thật . 😔😔😔😔,hỏng xe và phải đền tầu hỏa có thể phải đi tù nếu gây hậu quả nghiêm trọng đầu đất là có thật 😔
Sadness,2 năm rồi và đã kết thúc rồi,2 năm rồi và đã kết thúc rồi
Enjoyment,ngáo cỏ này đáng yêu nhỉ,ngáo cỏ này đáng yêu nhỉ
Enjoyment,ấm áp vãi .,ấm áp vãi
Enjoyment,per được đi thi chưa babe 😂,per được đi thi chưa babe 😂
Other,mấy vụ giết người chặt xác gần đây ở việt nam toàn là người hiền lành 🤔🤔🤔,mấy vụ giết người chặt xác gần đây ở việt nam toàn là người hiền lành 🤔
Enjoyment,"cảm ơn các em , tuổi học sinh lắm nghịch ngợm nhưng có lòng yêu thương con vật nhỏ bé đã giúp bé cún được sống 😘😘",cảm ơn các em tuổi học sinh lắm nghịch ngợm nhưng có lòng yêu thương con vật nhỏ bé đã giúp bé cún được sống 😘😘
Enjoyment,dume cười muốn chết người ta ~~,dume cười muốn chết người ta
Enjoyment,ngày xưa có 1 cái,ngày xưa có 1 cái
Anger,dm đã mải đạp xe rồi còn hỏi hoi cái lol gì vậy ????,địt mẹ đã mải đạp xe rồi còn hỏi hoi cái lol gì vậy
Disgust,"kaka bạn này best bán hành luôn kaka . bó tay . miệng nói một đường , não nghỉ một lối",kaka bạn này best bán hành luôn kaka bó tay miệng nói một đường não nghỉ một lối
Enjoyment,"đm buồn cười đéo chịu được , đặc vụ nằm vùng đi xe đạp thì đuổi sao kịp mấy th lol đi xe máy 🙄",địt mẹ buồn cười đéo chịu được đặc vụ nằm vùng đi xe đạp thì đuổi sao kịp mấy th lol đi xe máy 🙄
Disgust,"con sâu làm rầu nồi canh , tuyệt đối không có chuyện ....",con sâu làm rầu nồi canh tuyệt đối không có chuyện
Surprise,đứng trụ điện mới lạ chứ,đứng trụ điện mới lạ chứ
Disgust,bọn tiếp tay cho kẻ giết người,bọn tiếp tay cho kẻ giết người
Other,"cho phải công bằng , nếu không anh chị em không hoà thuận ...",cho phải công bằng nếu không anh chị em không hoà thuận
Other,rồi rủi gặp phải thằng người yêu con kia cục súc nó lại xiên cả đám :),rồi rủi gặp phải thằng người yêu con kia cục súc nó lại xiên cả đám
Disgust,cái này mình thấy ở ngoài đường người ta diễn nhiều lắm . nay chỗ này mai chỗ khác à . nhìn thấy riết rồi cũng nhạt cái mặt ra,cái này mình thấy ở ngoài đường người ta diễn nhiều lắm nay chỗ này mai chỗ khác à nhìn thấy riết rồi cũng nhạt cái mặt ra
Disgust,đi mà ngửi nách nhau à ? mua được cái cây về đến nhà còn trơ cọng,đi mà ngửi nách nhau à mua được cái cây về đến nhà còn trơ cọng
Disgust,quá ẩu vay mà bỏ tù người ta tân 7nam giờ đền 200tr . quá tội cho chị ấy còn những thằng kia thi quá tồi ...,quá ẩu vay mà bỏ tù người ta tân 7nam giờ đền 200tr quá tội cho chị ấy còn những thằng kia thi quá tồi
Disgust,ngu . vào quán uống nước lúc nào thích đi thì gọi bạn mang mũ bảo hiểm tới,ngu vào quán uống nước lúc nào thích đi thì gọi bạn mang mũ bảo hiểm tới
Disgust,"đều do lòng tham và sự ngu dốt của cá nhân gây ra , ngu cũng ngu vừa thôi .",đều do lòng tham và sự ngu dốt của cá nhân gây ra ngu cũng ngu vừa thôi
Disgust,đùa chứ cái tầm nghịch ngu này cho vào trại giáo dưỡng mấy tháng cũng được,đùa chứ cái tầm nghịch ngu này cho vào trại giáo dưỡng mấy tháng cũng được
Enjoyment,cần lắm những nhà tuyển dụng như vầy :)))),cần lắm những nhà tuyển dụng như vầy
Enjoyment,crush mới thích ảnh tao mà tao đã . nghĩ đến chuyện đặt tên con rồi,người mình thích mới thích ảnh tao mà tao đã nghĩ đến chuyện đặt tên con rồi
Sadness,vl đánh đòn hic :))))),vãi lồn đánh đòn hic
Fear,"tui đây vừa vô phòng thì con vợ mặt trắng bóc nhảy ra đây , tưởng là ma",tui đây vừa vô phòng thì con vợ mặt trắng bóc nhảy ra đây tưởng là ma
Sadness,nhìn vậy nhớ ông ngoại quá 😞,nhìn vậy nhớ ông ngoại quá 😞
Sadness,:) cảm giác đó đau lắm các mày ạ,cảm giác đó đau lắm các mày ạ
Enjoyment,"đang coi thấy nghi nghi , tắt vô xem bình luận , đoán ngay là sẽ giật mình , nên thôi không xem nữa haha , dễ gì bị dụ haha",đang coi thấy nghi nghi tắt vô xem bình luận đoán ngay là sẽ giật mình nên thôi không xem nữa haha dễ gì bị dụ haha
Surprise,ủa rồi mắc gì phí cả 1 đời 🙂,ủa rồi mắc gì phí cả 1 đời 🙂
Disgust,"ủa chứ bộ mày bán phá giá thì thị trường để yên cho mày à :v , mua tận gốc mà còn đòi giảm , ủa chứ giảm sao ? ủa chứ mày ngu mày bán đúng giá chứ mày đòi tao giảm tao phá sản nghỉ làm à :v",ủa chứ bộ mày bán phá giá thì thị trường để yên cho mày à v mua tận gốc mà còn đòi giảm ủa chứ giảm sao ủa chứ mày ngu mày bán đúng giá chứ mày đòi tao giảm tao phá sản nghỉ làm à v
Sadness,nhìn cái ngành giáo dục việt nam bây giờ ai cũng mệt mỏi,nhìn cái ngành giáo dục việt nam bây giờ ai cũng mệt mỏi
Disgust,cưng tởm,cưng tởm
Fear,mẹ đang buồn ỉa mà trên đường về gặp mớ gờ giảm tốc kia thì phọt bà ra quần 😨,mẹ đang buồn ỉa mà trên đường về gặp mớ gờ giảm tốc kia thì phọt bà ra quần 😨
Enjoyment,người gì đâu mà đẹp trai hết sức !,người gì đâu mà đẹp trai hết sức
Disgust,khá trẩu =))),khá trẩu
Disgust,đéo hiểu sao mấy thằng khốn nạn thì lại nhiều đứa yêu . anh em ngoan hiền đâu điểm danh,đéo hiểu sao mấy thằng khốn nạn thì lại nhiều đứa yêu anh em ngoan hiền đâu điểm danh
Other,"hết hôi nhưng cống vẫn xả xuống sông thì nó lại thành "" hòa vốn "" 🤔🤔",hết hôi nhưng cống vẫn xả xuống sông thì nó lại thành hòa vốn 🤔🤔
Disgust,"lũ âm binh khí đụ này phải truy gấp , tao tính đi bơi mà bọn bây làm vậy mất mặt đàn ông chân chính bơi vì đam mê như tao quá 😡",lũ âm binh khí đụ này phải truy gấp tao tính đi bơi mà bọn bây làm vậy mất mặt đàn ông chân chính bơi vì đam mê như tao quá 😡
Other,2 câu giống nhau,2 câu giống nhau
Other,chổ mình là miền núi nên là không nấu bằng rơm nhé,chổ mình là miền núi nên là không nấu bằng rơm nhé
Other,tao nghi chị xác chết với chị bác sĩ pháp y đó yêu nhau quá chúng mày :)),tao nghi chị xác chết với chị bác sĩ pháp y đó yêu nhau quá chúng mày
Enjoyment,đau ruột với thằng số 9 🤣🤣🤣,đau ruột với thằng số 9 🤣
Enjoyment,đang đi ỉa tự nhiên xem phim này cái cười ỉa ra cứt luôn :)),đang đi ỉa tự nhiên xem phim này cái cười ỉa ra cứt luôn
Disgust,cái máy không có lỗi lỗi ở mấy lão kỹ sư trắc địa,cái máy không có lỗi lỗi ở mấy lão kỹ sư trắc địa
Disgust,sau này nó lớn lên làm kinh doanh thứ gì đó thì lúc đó nó mới biết thế nào là quả báo,sau này nó lớn lên làm kinh doanh thứ gì đó thì lúc đó nó mới bt thế nào là quả báo
Enjoyment,cưng quá hà,cưng quá hà
Other,fan của nhà thờ đức bà paris vào cảm thông cái per,fan của nhà thờ đức bà paris vào cảm thông cái per
Enjoyment,phim cực hay và cực cảm động lòng người,phim cực hay và cực cảm động lòng người
Enjoyment,hàng nhà tao cắt tóc xong thì tao cười như con điên từ sáng đến tối =)))),hàng nhà tao cắt tóc xong thì tao cười như con điên từ sáng đến tối
Fear,"chúng mày nhìn , tao nuốt cũng không xuống nổi , ông địa",chúng mày nhìn tao nuốt cũng không xuống nổi ông địa
Enjoyment,hoan hô anh 😂😄,hoan hô anh 😂😄
Enjoyment,lấy ghế ra ngồi thật tuyệt,lấy ghế ra ngồi thật tuyệt
Enjoyment,per phim nào cũ thì người cũng hay hêt ́ tao anh ơi,per phim nào cũ thì người cũng hay hêt ́ tao anh ơi
Other,dù 22 tuổi nhưng bố giàu là được,dù 22 tuổi nhưng bố giàu là được
Sadness,"ước gì mày được quay về tuổi thơ , trước mày cũng có 1 b trai như vậy đó",ước gì mày được quay về tuổi thơ trước mày cũng có 1 b trai như vậy đó
Enjoyment,làm kiểu không cần bẻ phê hơn =))),làm kiểu không cần bẻ phê hơn
Disgust,khó tính chảnh chó như mèo 🙄,khó tính chảnh chó như mèo 🙄
Surprise,chủ tịch giả vờ nấu kiểu này và cái kết cháy trụi làng,chủ tịch giả vờ nấu kiểu này và cái kết cháy trụi làng
Other,per nhớ thật sự,per nhớ thật sự
Sadness,"đấy , nó đấy . con tim tao đau quá .",đấy nó đấy con tim tao đau quá
Fear,ngày xưa hồi còn học mẫu giáo mỗi lần đi qua là nó rượt tao chạy té khói dume còn thiếu nước chạy lại quỳ xuống van xin nó nữa thôi . đến giờ nó vẫn là nỗi ám ảnh với tao :)),ngày xưa hồi còn học mẫu giáo mỗi lần đi qua là nó rượt tao chạy té khói dume còn thiếu nước chạy lại quỳ xuống van xin nó nữa thôi đến giờ nó vẫn là nỗi ám ảnh với tao
Enjoyment,chính xác là con gái xinh auto đáng yêu =)))),chính xác là con gái xinh auto đáng yêu
Disgust,vớ vẩn thặc ! marketing cũng có dăm bảy loại và tùy lĩnh vực . dăm ba cái này đăng mà không đọc à,vớ vẩn thặc marketing cũng có dăm bảy loại và tùy lĩnh vực dăm ba cái này đăng mà không đọc à
Enjoyment,"kết nhất cái điệu "" xời quá là điều bình thường luôn """,kết nhất cái điệu xời quá là điều bình thường luôn
Enjoyment,chàng trai mạnh mẽ !,chàng trai mạnh mẽ
Fear,thấy hơi sợ sợ rồi đấy :(,thấy hơi sợ sợ rồi đấy
Enjoyment,như con đười ươi :)))))),như con đười ươi
Enjoyment,per thần thái còn phải thua haha,per thần thái còn phải thua haha
Other,chuẩn bị cho chim ăn cức,chuẩn bị cho chim ăn cức
Disgust,"có chỗ tự đào thải nhưng có chỗ có đào cũng không thải , vì "" cơ chế "" đồng tiền có lỗ xỏ . khó nói lắm",có chỗ tự đào thải nhưng có chỗ có đào cũng không thải vì cơ chế đồng tiền có lỗ xỏ khó nói lắm
Sadness,đang thất tình mà dume cứ bắt đi bán xoài @@,đang thất tình mà dume cứ bắt đi bán xoài
Surprise,đm y chang mẹ tao chửi tao luôn :),địt mẹ y chang mẹ tao chửi tao luôn
Disgust,trông ô uế vãi,trông ô uế vãi
Disgust,đúng rất nguy hiểm ! đằng sau 1 thằng đàn ông đôi khi là cả một tủ váy,đúng rất nguy hiểm đằng sau 1 thằng đàn ông đôi khi là cả một tủ váy
Anger,dm đang yên đang lành tự dưng bị nhét cẩu lương 😡😡,địt mẹ đang yên đang lành tự dưng bị nhét cẩu lương 😡😡
Disgust,phản cảm,phản cảm
Enjoyment,"ba mẹ mình nhớ tất cả ngày tháng năm sinh âm lịch , giờ sinh , tên tuổi ...... của 4 chị em .....",ba mẹ mình nhớ tất cả ngày tháng năm sinh âm lịch giờ sinh tên tuổi của 4 chị em
Enjoyment,bị tát lần đầu có thể sẽ hơi sốc một chút nhưng bị nhiều lần rồi sẽ quen ngay ấy mà 😂,bị tát lần đầu có thể sẽ hơi sốc một chút nhưng bị nhiều lần rồi sẽ quen ngay ấy mà 😂
Disgust,ghê thật,ghê thật
Sadness,không biết đến 2021 tao có lấy được chồng không nữa :((,không bt đến 2021 tao có lấy được chồng không nữa
Enjoyment,"kỳ nghỉ hè muộn của anh mà , xõa hết đi anh .",kỳ nghỉ hè muộn của anh mà xõa hết đi anh
Other,nhỏ không học lớn lên làm nhà báo,nhỏ không học lớn lên làm nhà báo
Other,2 - 3 tuần gì đấy . sao thế,2 3 tuần gì đấy sao thế
Anger,per đu ̣ me ̣ như 1 tro ̀ đu ̀ anh =))))) đi gia ̉ mày tô ́ c co ̀ n nhiê ̀ u hơn khu nha ̀ ông,per đu ̣ me ̣ như 1 tro ̀ đu ̀ anh đi gia ̉ mày tô ́ c co ̀ n nhiê ̀ u hơn khu nha ̀ ông
Disgust,dở hơi,dở hơi
Disgust,cũng chỉ là ít protein dạng sợi thôi béo tốt gì mà gìn giữ 66 năm 😑 xã hội giờ là vậy . khi bạn không có tài năng nhưng bạn muốn tạo sự quan tâm của xã hội thì phải ..... 🙃🙃🙃,cũng chỉ là ít protein dạng sợi thôi béo tốt gì mà gìn giữ 66 năm 😑 xã hội giờ là vậy khi bạn không có tài năng nhưng bạn muốn tạo sự quan tâm của xã hội thì phải 🙃
Other,"đó là những cô gái cần được bảo tồn , vì biết lo nghĩ đến thứ anh ta đang nghĩ",đó là những cô gái cần được bảo tồn vì bt lo nghĩ đến thứ anh ta đang nghĩ
Other,đó là mày chưa nhận ra việc mày yêu tiền như thế nào và muốn kiếm tiền nhiều bao nhiêu ?,đó là mày chưa nhận ra việc mày yêu tiền như thế nào và muốn kiếm tiền nhiều bao nhiêu
Other,tại thợ hàn bất cẩn chăng ...,tại thợ hàn bất cẩn chăng
Disgust,đúng là không có nhân tính,đúng là không có nhân tính
Enjoyment,"học xong cấp 3 , ngoài mừng vì được thoát khỏi đó thì không hề có lưu luyến 1 chút nào :))))))",học xong cấp 3 ngoài mừng vì được thoát khỏi đó thì không hề có lưu luyến 1 chút nào
Sadness,hoá ra chúng ta không biết nhiều về tình yêu như ta vẫn nghĩ 😢,hoá ra chúng ta không bt nhiều về tình yêu như ta vẫn nghĩ 😢
Anger,lòng đường không phải nhà cụ nên cụ sai nhé . vỉa hè to vậy rồi cụ còn muốn như thế nào,lòng đường không phải nhà cụ nên cụ sai nhé vỉa hè to vậy rồi cụ còn muốn như thế nào
Surprise,thiệt hả cái ???,thiệt hả cái
Enjoyment,per mi phải học con nay bán hàng lai chim mới chạy hàng này,per mi phải học con nay bán hàng lai chim mới chạy hàng này
Sadness,"ước mơ của tao , thích vẽ lắm luôn , nhưng mỗi tội vẽ xong cho lên màu thì lại tệ 🙄",ước mơ của tao thích vẽ lắm luôn nhưng mỗi tội vẽ xong cho lên màu thì lại tệ 🙄
Enjoyment,dăm ba cái trò nấu cơm này sao làm khó tao .,dăm ba cái trò nấu cơm này sao làm khó tao
Sadness,em chân thành nên em tổn thương,em chân thành nên em tổn thương
Enjoyment,bộ phim này hay từng đoạt giải oscar có lẽ là bộ hay nhất của ấn độ,bộ phim này hay từng đoạt giải oscar có lẽ là bộ hay nhất của ấn độ
Other,ủa ? chọn người nào cũng như nhau thôi . vì cả 2 người chắc đéo gì đã thích bạn đâu ? :)),ủa chọn người nào cũng như nhau thôi vì cả 2 người chắc đéo gì đã thích bạn đâu
Anger,đcm . mấy hôm này đi đâu cungz thấy chủ tịch . đéo ngán à ?,địt cụ mày mấy hôm này đi đâu cungz thấy chủ tịch đéo ngán à
Enjoyment,hồi đó cấp 2 mà bán đồ lời mấy chục là mừng quýnh lên rồi =))),hồi đó cấp 2 mà bán đồ lời mấy chục là mừng quýnh lên rồi
Other,và sau đó mẹ mày đánh thức mày dậy 😌,và sau đó mẹ mày đánh thức mày dậy 😌
Enjoyment,per đưa anh nè không cần năn nỉ . chỉ cần em cởi hết đồ ra thôi . đúng không,per đưa anh nè không cần năn nỉ chỉ cần em cởi hết đồ ra thôi đúng không
Disgust,bà này hên vãi . bữa bên gò vấp cũng v . nhỏ kia nói chuyện rất đàng hoàng bà này thấy v làm tới mà lỗi sai rành rành . xui đâu có vài bà đi đường nghe không lọt tai hay sao vả cho mấy phát . hả dạ !,bà này hên vãi bữa bên gò vấp cũng vậy nhỏ kia nói chuyện rất đàng hoàng bà này thấy vậy làm tới mà lỗi sai rành rành xui đâu có vài bà đi đường nghe không lọt tai hay sao vả cho mấy phát hả dạ
Disgust,dm gớm chó thiệt chứ,địt mẹ gớm chó thiệt chứ
Sadness,nhớ lại thời đi học xa nhà . bếp dầu ... :(,nhớ lại thời đi học xa nhà bếp dầu
Anger,trời ơi . giết hết lũ xúc sinh liên quan đi . lũ giết người hàng loạt . yêu cầu thủ tướng đứng ra chỉ đạo vụ việc này cho dân . diệt tận gốc nhổ tận rể lũ súc vật này .😡😡😡😡,trời ơi giết hết lũ xúc sinh liên quan đi lũ giết người hàng loạt yêu cầu thủ tướng đứng ra chỉ đạo vụ việc này cho dân diệt tận gốc nhổ tận rể lũ súc vật này 😡
Other,sẽ gây sự chú ý . cố tình xuất hiện trước mặt nhưng giả vờ như không quan tâm 😚,sẽ gây sự chú ý cố tình xuất hiện trước mặt nhưng giả vờ như không quan tâm 😚
Sadness,nản kèo vãi,nản kèo vãi
Other,"vẫn là thụ động , làm sao phải chặn đứng hiện tượng rải đinh .",vẫn là thụ động làm sao phải chặn đứng hiện tượng rải đinh
Other,"per xuống cấp những vật liệu dễ bị cháy , chắc có thể do chập điện hoặc nguyên nhân gì đó khiến ngọn lửa bắt lên nhanh cộng với gió lớn .",per xuống cấp những vật liệu dễ bị cháy chắc có thể do chập điện hoặc nguyên nhân gì đó khiến ngọn lửa bắt lên nhanh cộng với gió lớn
Enjoyment,để được maiz ngắm nhìn nụ cười đó nên quyết định chỉ crush mà thôi :3,để được maiz ngắm nhìn nụ cười đó nên quyết định chỉ người mình thích mà thôi 3
Surprise,thế là .... nổi tiếng sao ?,thế là nổi tiếng sao
Anger,hình phạt đó quá nhẹ không có sức dặn đe kẻ khác,hình phạt đó quá nhẹ không có sức dặn đe kẻ khác
Fear,dume nghe kể mà đau cổ họng vãi :),dume nghe kể mà đau cổ họng vãi
Fear,khiếp ăn tạp chẳng chết,khiếp ăn tạp chẳng chết
Enjoyment,một cái tết nhiều tiền,một cái tết nhiều tiền
Disgust,phim này thật ra hay nhưng không có tính thực tế . không hay bằng truyện .,phim này thật ra hay nhưng không có tính thực tế không hay bằng truyện
Disgust,sao tao ghét mấy cái tiếng cười của bọn khựa vãi mà video lồn nào cũng nge,sao tao ghét mấy cái tiếng cười của bọn khựa vãi mà video lồn nào cũng nge
